qstr_res_cape1|res cape1
qstr_{s2}^Base_Attribute:A|{s2}^Базовый атрибут:ЛОВ
qstr_{s2}^Base_Attribute:S|{s2}^Базовый атрибут:СИЛ
qstr_Battle_role:|Боевая роль:
qstr_Line_Infantry|Линейная пехота
qstr_Light_Infantry|Лёгкая пехота
qstr_Guard_Infantry|Гвардейская пехота
qstr_Melee_Cavalry|Кавалерия ближнего боя
qstr_Ranged_Cavalry|Кавалерия дальнего боя
qstr_Guard_Cavalry|Гвардейская кавалерия
qstr_Next|Следующая
qstr_Price_{reg42}^Weight|Стоимость {reg42}^Вес {reg43}
qstr_{reg5}_to_{reg6}|{reg5} Для {reg6}
qstr_You_can_t_equip_this|Вы не можете оборудовать этот предмет - неправильный слот.
qstr_Military_Technologie|Военные технологии {s1}
qstr_Research|Исследование
qstr_Select_technology|Выбрать технологию
qstr_Rifled_Caplock^^Musk|Колпачковая винтовка^^Мушкеты
qstr_Conversion_Breech_lo|Конверсионный казенник с затвором^^Винтовки
qstr_Modern^^Breech_loade|Современные^^Винтовки с затвором
qstr_Breech_loaded^^Canno|Затворный механизм^^Пушки
qstr_Improved_Percussion^|Усовершенствованная ударность^^Механизмы
qstr_Early_Magazine^^Rifl|Ранние магазины^^Винтовки
qstr_Machine_Guns|Пулеметы
qstr_Modern_Magazine_Rifl|Современные винтовочные магазины
qstr_Light_Machine^^Guns|Лёгкие пулеметы^^Пулеметы
qstr_Landships|Монстр
qstr_Crimean_War^^Experie|Крымская война^^Опыт
qstr_Skirmish_Line^^Tacti|Линия огня^^Тактики
qstr_Modern_Defence^^Tact|Современная оборона^^Тактики
qstr_Modern_Attack_Tactic|Современная тактика атаки
qstr_Rapid_Firing^^Artill|Скорострельность^^Артиллерия
qstr_Infantry_Machine^^Gu|Пехотный пелемет^^Оружейные тактики
qstr_Covering_Fire|Огонь на подавление
qstr_Gas_Attacks|Атака газом
qstr_Shock_Troops|Ударные войска
qstr_Country_does_not_hav|У страны недостаточно бюджета, чтобы начать исследования.
qstr_faction_technologies|Доступные фракционные технологии
qstr_faction_technologies_|Фракционная технология в процессе
qstr_Rifled_Caplock^Muske|Колпачковая винтовка^Мушкеты
qstr_faction_technologies_p|Фракционная технология фото винтовки
qstr_Rapid_Firing^Artille|Скорострельность^Артиллерия
qstr_faction_technologies_ph|Фракционная технология фото современная артеллерия
qstr_faction_technologies_pho|Фракционная технология фото современной атаки
qstr_Crimean_War^Experien|Крымская война^Опыт
qstr_faction_technologies_phot|Фракционная технология фото крымской войны
qstr_Modern_Magazine^Rifl|Современные магазины^Винтовки
qstr_faction_technologies_photo|faction technologies photo riflesboltactionmodern
qstr_Conversion_Breech_loa|Conversion Breech-loaded^Rifles
qstr_faction_technologies_photo_|faction technologies photo riflesconverted
qstr_Infantry_Machine^Gun|Infantry Machine^Gun Tactics
qstr_faction_technologies_photo_i|faction technologies photo infantrymgtactics
qstr_faction_technologies_photo_c|faction technologies photo coveringfire
qstr_faction_technologies_photo_g|faction technologies photo gasattacks
qstr_Converted_breech_loa|Converted breech-loaded rifles have several issues. They have big caliber, because of which during fast shooting the barrel heats up so much that it becomes hard to handle rifle during reload or melee fighting. Inserted breech-loading mechanisms are not perfect and often cause cartridge case to jam inside after shot, and being hard to get out. Next step in firearms rearmament should be adopting new breech-loaded rifle: it will have much smaller caliber than before, which will improve bullet ballistics, and will have improved breech-loading mechanism, that will further increase rate of fire by making reloading process easier.^^Effects: army changes it's firearms to small-caliber breech-loading rifles.
qstr_faction_technologies_photo_r|faction technologies photo riflessmallcaliber
qstr_faction_technologies_photo_t|faction technologies photo tanks
qstr_Skirmish_Line^Tactic|Skirmish Line^Tactics
qstr_faction_technologies_photo_s|faction technologies photo skirmishline
qstr_Light_Machine^Guns|Light Machine^Guns
qstr_faction_technologies_photo_l|faction technologies photo lmgs
qstr_Early_Magazine^Rifle|Early Magazine^Rifles
qstr_faction_technologies_photo_ri|faction technologies photo riflesboltaction
qstr_Breech_loaded^Cannon|Breech-loaded^Cannons
qstr_faction_technologies_photo_ca|faction technologies photo cannonsbreechloading
qstr_faction_technologies_photo_m|faction technologies photo machineguns
qstr_Improved_Percussion^M|Improved Percussion^Mechanisms
qstr_faction_technologies_photo_la|faction technologies photo lateshells
qstr_faction_technologies_photo_sh|faction technologies photo shocktroops
qstr_Modern_Defence^Tacti|Modern Defence^Tactics
qstr_faction_technologies_photo_mo|faction technologies photo moderndefence
qstr___already_funded_| (already funded)
qstr___already_researched| (already researched)
qstr__Current_progress___| Current progress - {reg2}%.
qstr_Cost___{reg0}_${s1}.|Cost - {reg0} ${s1}.^Available after {reg1} year.{s2}
qstr_Select_Faction|Select Faction
qstr_Start_Game|Start Game
qstr_Chosen_Faction:^{s1}|Chosen Faction:^{s1}
qstr_Select_flag_for_your|Select flag for your faction
qstr_Peace_negotiations_w|Peace negotiations with {s1}
qstr_Stop_Negotiations|Stop Negotiations
qstr_Make_Peace|Make Peace
qstr_Opposite_side_diplom|Opposite side diplomats^cannot agree with terms
qstr_Current_winner:_{s1}|Current winner: {s1}
qstr_War_reparations_amou|War reparations amount: {reg11} $
qstr_Infamy_penalty:_{reg|Infamy penalty: {reg12}
qstr_Cannot_claim_{s31}__|Cannot claim {s31} - it doesn't have supply routes to your faction.
qstr_Diplomats_from_{s32}|Diplomats from {s32} refuse to give {s31} to the {s33}.
qstr_{s1}|{s1}
qstr_Executive_Branch_Com|Executive Branch Composition 
qstr_Not_a_ruling_party.^|Not a ruling party.^Click to make this party^ a ruling party.
qstr_Upper_Class___Aristo|Upper Class - Aristocracy
qstr_Upper_Class___Bourge|Upper Class - Bourgeoisie
qstr_Middle_Class|Middle Class
qstr_Lower_Class___Urban|Lower Class - Urban
qstr_Lower_Class___Rural|Lower Class - Rural
qstr_Loyalty_to_parties:|Loyalty to parties:
qstr_Wealth:_{reg1}%|Wealth: {reg1}%
qstr_Satisfaction_with_ne|Satisfaction with needs: {reg4}%
qstr_Political_activity:_|Political activity: {reg3}%
qstr_State_Laws:|State Laws:
qstr_Nomination_Rules|Nomination Rules
qstr_Upper_Class_Only|Upper Class Only
qstr_Universal|Universal
qstr_Vote_Franchise|Vote Franchise
qstr_Aristocracy_Only|Aristocracy Only
qstr_Upper_and_Middle_Cla|Upper and Middle Class Only
qstr_Universal_Weighted|Universal Weighted
qstr_Voting_System|Voting System
qstr_Ruling_Party_Influen|Ruling Party Influence
qstr_Non_secret_Ballot|Non-secret Ballot
qstr_Secret_Ballot|Secret Ballot
qstr_Press_Censorship|Press Censorship
qstr_State_Press|State Press
qstr_Heavy_Censorship|Heavy Censorship
qstr_Light_Censorship|Light Censorship
qstr_Free_Press|Free Press
qstr_Executive_Branch_Ele|Executive Branch Elective Posts
qstr_Selected_by_State|Selected by State
qstr_Partially_Elected|Partially Elected
qstr_Mostly_Elected|Mostly Elected
qstr_Maximum_Work_Hours|Maximum Work Hours
qstr_Unlimited|Unlimited
qstr_12_hours_a_day|12 hours a day
qstr_10_hours_a_day|10 hours a day
qstr_8_hours_a_day|8 hours a day
qstr_Minimum_Wage|Minimum Wage
qstr_No_Minimum|No Minimum
qstr_Low_Minimum|Low Minimum
qstr_Acceptable_Minimum|Acceptable Minimum
qstr_Good_Minimum|Good Minimum
qstr_Trade_Unions|Trade Unions
qstr_Banned|Banned
qstr_Allowed|Allowed
qstr_Public_Meetings|Public Meetings
qstr_Authorized_only|Authorized only
qstr_Child_labour|Child labour
qstr_Restrictions|Restrictions
qstr_Outlawed|Outlawed
qstr_Political_movements|Political movements
qstr_Liberal_movement|Liberal movement
qstr_Socialist_movement|Socialist movement
qstr_Peace_movement|Peace movement
qstr_You_cannot_change_ru|You cannot change ruling party ({reg1} days cooldown).
qstr_Income_tax:_{reg10}%|Income tax: {reg10}%
qstr_Goods_and_Services_t|Goods and Services tax: {reg10}%
qstr_Import/Export_tax:_{|Import/Export tax: {reg11}%/{reg12}%
qstr_Military_Expenses:_{|Military Expenses: {reg10}%
qstr_Education_Expenses:_|Education Expenses: {reg10}%
qstr_Infrastructure_Expen|Infrastructure Expenses: {reg10}%
qstr_Healthcare_Expenses:|Healthcare Expenses: {reg10}%
qstr_Slot:_not_selected|Slot: not selected
qstr_Party:_not_selected|Party: not selected
qstr_Party:_{reg1}___{s1}|Party: {reg1} - {s1}
qstr_{reg1}|{reg1}
qstr_N_A|N A
qstr_Slot:_{reg1}|Slot: {reg1}
qstr_JUST_MONIKA_JUST_MON|JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^JUST MONIKA JUST MONIKA JUST MONIKA^
qstr_monika1|monika1
qstr_00|00
qstr_{reg1}.{s2}{reg2}_mi|{reg1}.{s2}{reg2} millions of population
qstr_Literacy_is_{reg1}.{|Literacy is {reg1}.{reg2}%
qstr_Urbanization_is_{reg|Urbanization is {reg1}.{reg2}%
qstr_Daily_GDP_is_{reg1}_|Daily GDP is {reg1} $.
qstr_{reg1}_craftsmen_{re|{reg1} craftsmen, {reg2} of which are employed^in mass production, and {reg3} are^occupied in handicraft production.
qstr_Region_of_{s1}|Region of {s1}
qstr_Resource_Menu|Resource Menu
qstr_X_thousands_of_popul|X thousands of population
qstr_Literacy_is_X%|Literacy is X%
qstr_Urbanization_is_X%|Urbanization is X%
qstr__+| +
qstr_Balance_change:{s1}{|Balance change:{s1}{reg10} $.
qstr_BUY|BUY
qstr_SELL|SELL
qstr_Balance_change:_+0_$|Balance change: +0 $.
qstr_Manage_share__Now_is|Manage share (Now is {reg10})%.
qstr_Not_enough_money.|Not enough money.
qstr_Price_history_chart:|Price history chart:
qstr_Country|Country
qstr_Supply|Supply
qstr_Demand|Demand
qstr_Number_of^Factories|Number of^Factories
qstr_Quality|Quality
qstr_GDP|GDP
qstr_Population|Population
qstr_Literacy|Literacy
qstr_Urbanization|Urbanization
qstr_Select_factory_to_bu|Select factory to build:
qstr_Your_current_balance|Your current balance is {reg10} $.
qstr_Initial_Capital:_500|Initial Capital: 50000 $.
qstr_*Rest_of_initial_bud|*Rest of initial budget will be found via investitions.^Speed of funding depends on region and country.
qstr_Start_Enterprise|Start Enterprise
qstr_pes_region_factoryca|pes region factorycard2
qstr_{s3}|{s3}
qstr_{s2}|{s2}
qstr_Same_type_of_factory|Same type of factory does already exist in this town.
qstr_Initial_Capital:_{re|Initial Capital: {reg10} $.
qstr_Army_of_{s1}|Army of {s1}
qstr_Army_size:_{reg1}%|Army size: {reg1}%
qstr__{reg2}.{reg3}%_to_q|-{reg2}.{reg3}% to quality of life
qstr_Divisions|Divisions
qstr_{reg1}_soldiers|{reg1} soldiers
qstr_Garrisons|Garrisons
qstr_soldiers_total|soldiers total
qstr_Equipped_with_milita|Equipped with military supplies by
qstr_{reg1}%|{reg1}%
qstr_Supplied_with_ammuni|Supplied with ammunition by
qstr_Equipped_with_weapon|Equipped with weapons by
qstr_Combat_efficiency_of|Combat efficiency of army is
qstr_vSeason|vSeason
qstr_{s1}_of_{s3}_was_def|{s1} of {s3} was defeated in battle but managed to escape.
qstr_{s54}_is_a_claimant_|{s54} is a claimant to the throne of {s56}.
qstr_nowhere|Нигде
qstr_{s57}_and_{s58}|{s57} and {s58}
qstr_{reg3?She:He}|{reg3?She:He}
qstr_The_town_of_{s50}|The town of {s50}
qstr_The_village_of_{s50}|The village of {s50} near {s52}
qstr_{s51}_belongs_to_{s1|{s51} belongs to {s1} of {s2}.^
qstr_{s7}_and_{s8}|{s7} and {s8}
qstr_{s2}It_has_no_villag|{s2}It has no villages.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Its villages are:Its village is} {s8}.^
qstr_{s63}_is_connected_t|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network. Region of this center has access to a seaport.
qstr_{s63}_is_connected_to|{s63} is connected to the cities of {s60}, {s61} and {s62} by the local road network.
qstr_{s2}Its_prosperity_i|{s2}Its prosperity is: {s50}.^{s20}
qstr_noone|noone
qstr_{s9}_and_{s10}|{s9} and {s10}
qstr_{s21}^*_The_{s5}_is_|{s21}^* The {s5} is in alliance with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has|{s21}^* The {s5} has friendly diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_|{s21}^* The {s5} has warm diplomatic relationship with {s14} ({reg11}).
qstr_{s21}^*_The_{s5}_has_i|{s21}^* The {s5} has indifferent diplomatic relationship with {s14} ({reg11}).
qstr_{s5}_has_been_defeat|{s5} has been defeated.
qstr_{s7}_opened_the_gate|{s7} opened the gate
qstr_{s7}_closed_the_gate|{s7} closed the gate
qstr_Has_second_barrel__p|Has second barrel (press action^key while aiming to fire a buckshot)
qstr_Uses_pistol_cartridg|Uses pistol cartridges
qstr_Smoothbore_musket|Smoothbore musket
qstr_Rifled_musket|Rifled musket
qstr_Converted_breech_load|Converted breech loaded rifle
qstr_Modern_breech_loaded|Modern breech loaded rifle
qstr_Smoothbore_pistol|Smoothbore pistol
qstr_Revolver__7_rounds_|Revolver (7 rounds)
qstr_Revolver__8_rounds_|Revolver (8 rounds)
qstr_Revolver__6_rounds_|Revolver (6 rounds)
qstr_Pocket_Revolver__6_r|Pocket Revolver (6 rounds)
qstr_Self_Loading_Pistol_|Self-Loading Pistol (7 rounds)
qstr_Self_Loading_Pistol__|Self-Loading Pistol (6 rounds)
qstr_Self_Loading_Pistol__1|Self-Loading Pistol (10 rounds)
qstr_Self_Loading_Pistol__8|Self-Loading Pistol (8 rounds)
qstr_Revolver__9_rounds_|Revolver (9 rounds)
qstr_Pump_shotgun__6_roun|Pump shotgun (6 rounds)
qstr_Shotgun__2_rounds_|Shotgun (2 rounds)
qstr_Lever_action_shotgun|Lever action shotgun (6 rounds)
qstr_Lever_action_shotgun_|Lever action shotgun (1 round)
qstr_Bolt_action_magazine|Bolt-action magazine rifle (5 rounds)
qstr_Straight_pull_bolt_a|Straight-pull bolt-action^magazine rifle (5 rounds)
qstr_Bolt_action_magazine_|Bolt-action magazine rifle (4 rounds)
qstr_Bolt_action_magazine_r|Bolt-action magazine rifle (8 rounds)
qstr_Bolt_action_magazine_ri|Bolt-action magazine rifle (10 rounds)
qstr_Pocket_Pistol__6_rou|Pocket Pistol (6 rounds)
qstr_Pocket_Pistol__4_rou|Pocket Pistol (4 rounds)
qstr_Breech_loaded_rifle|Breech loaded rifle
qstr_Lever_action_magazin|Lever action magazine rifle (8 rounds)
qstr_Lever_action_magazine|Lever action magazine rifle (5 rounds)
qstr_Lever_action_magazine_|Lever action magazine rifle (9 rounds)
qstr_Lever_action_magazine_r|Lever action magazine rifle (16 rounds)
qstr_Lever_action_magazine_ri|Lever action magazine rifle (7 rounds)
qstr_+{reg1}_to_party_mor|+{reg1} to party morale
qstr_Requires_{reg1}_inte|Requires {reg1} intelligence to read
qstr_Reading_Progress:_{r|Reading Progress: {reg1}%
qstr_wound_treament|wound treament
qstr_trainer|trainer
qstr_surgery|surgery
qstr_+1_to_{s1}_while_in_|+1 to {s1} while in inventory
qstr_Move_here|Move here
qstr_View_notes|View notes
qstr_Accompany|Accompany
qstr_killed|killed
qstr_wounded|wounded
qstr_{s0}^TOTAL:_{reg3}__|{s0}^TOTAL: {reg3} ({s2})
qstr_^None|^None
qstr_nothing|nothing
qstr_{reg0}_village{reg1?|{reg0} village{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castle{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castle{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} town{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} town{reg1?s:} and {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} town{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Your opponents are ready for the fight.
qstr_Try_to_destroy_as_ma|Try to destroy as many targets as you can. You have two and a half minutes to clear the track.
qstr_Stay_behind_the_line|Stay behind the line on the ground and shoot the targets. Try not to waste any shots.
qstr_Battle_Advantage_=_{|Battle Advantage = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} wants you to resume following his army until further notice.
qstr__Being_Raided_|(Being Raided)
qstr__Looted_|(Looted)
qstr__Under_Siege_|(Under Siege)
qstr_The_village_of_{s1}_|The village of {s1} has been looted by {s2}.
qstr_{s3}_is_no_longer_un|{s3} is no longer under siege.
qstr_Small_bands_of_enemi|Small bands of enemies spotted near {s1}.
qstr_Enemy_patrols_spotte|Enemy patrols spotted near {s1}.
qstr_Medium_sized_group_o|Medium-sized group of enemies spotted near {s1}.
qstr_Significant_group_of|Significant group of enemies spotted near {s1}.
qstr_Army_of_enemies_spot|Army of enemies spotted near {s1}.
qstr_Large_army_of_enemie|Large army of enemies spotted near {s1}.
qstr_Great_host_of_enemie|Great host of enemies spotted near {s1}.
qstr_{s1}_has_been_besieg|{s1} has been besieged by {s2} of {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} is the new marshal of {s2}.
qstr_You_gained_{reg12}_r|You gained {reg12} renown.
qstr_You_lose_{reg12}_ren|You lose {reg12} renown.
qstr_Your_relation_with_{|Your relation with {s1} has improved.
qstr_Your_relation_with_{s|Your relation with {s1} has deteriorated.
qstr_You_gain_honour.|You gain honour.
qstr_You_lose_honour.|You lose honour.
qstr_{s1}_has_declared_wa|{s1} has declared war against {s2}.
qstr_{s1}_has_declared_war|{s1} has declared war against {s2} in support of {s31}.
qstr_{s1}_and_{s2}_have_m|{s1} and {s2} have made peace with each other.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?was:is currently} at {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?was:is} travelling to {s3} and {reg4?she:he} {reg3?was:should be} close to {s4}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?was:is} in the field and {reg4?she:he} {reg3?was:should be} close to {s3}{reg3?: at the moment}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?was:is} being held captive at {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?was:has been} taken captive by {reg4?her:his} enemies.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}'s location was unknown:I don't know where {s2} is}.
qstr_{s6}_has_joined_your|{s6} has joined your party.
qstr_You_now_owe_{reg2}_$|You now owe {reg2} $ to {s1}.
qstr_Renown_value_for_thi|Renown value for this battle is {reg8}.
qstr_You_have_run_into_a_|You have run into a trap!
qstr_You_are_attacked_by_|You are attacked by a group of bandits!
qstr_Holding|Holding
qstr_Following|Following
qstr_Charging|Charging
